Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10
3/10/2021,0.001,-0.007,0.004,0.004,0,-0.004,0,0.004,0.004,0.001
3/11/2021,-0.008,0.002,-0.001,-0.009,-0.007,-0.014,-0.003,-0.005,-0.012,-0.006
3/12/2021,0.003,-0.003,0.003,0.005,-0.001,0,0,0.007,0.004,0.002
3/15/2021,0.006,0.005,0.002,0.001,-0.001,0.009,-0.012,-0.001,0.001,0.001
3/16/2021,0.018,0.005,0.003,0.006,0.013,0.013,-0.009,0.007,0.003,0.007
3/17/2021,-0.006,0,0.006,0.002,-0.005,-0.006,0.004,0,-0.006,-0.001
3/18/2021,0.014,-0.012,0,0.004,0.004,0.006,-0.021,0.005,0.007,0.001
3/19/2021,0.003,-0.004,0.005,0.002,-0.006,0.001,-0.029,0.006,-0.001,-0.003
3/22/2021,-0.003,0.001,0.001,0,0.001,0.011,0.002,0.003,-0.005,0.001
3/23/2021,-0.003,-0.001,0,-0.004,-0.007,-0.003,0.001,0.002,0.021,0.001
3/24/2021,0.006,0.003,-0.003,0.012,0.005,0.009,0.016,0.011,-0.002,0.006
3/25/2021,-0.001,0.006,0.002,0.001,-0.006,-0.003,-0.001,0,-0.018,-0.002
3/26/2021,0.002,0.004,-0.006,-0.005,-0.013,-0.02,0.01,0,-0.003,-0.004
3/29/2021,0.009,0.002,0.009,0.008,0.008,0.008,0.01,-0.004,-0.013,0.004
3/30/2021,0.01,-0.006,0.001,-0.003,-0.002,0.002,-0.002,0,-0.001,0
3/31/2021,0.001,0.016,0.012,-0.001,0.009,0.004,0.005,0.002,-0.001,0.005
4/1/2021,-0.008,-0.01,-0.012,-0.012,-0.018,-0.007,-0.002,-0.003,-0.02,-0.01
4/2/2021,0.001,-0.002,0,0.001,-0.005,-0.001,0.004,-0.005,-0.017,-0.003
4/5/2021,0.009,0.006,0.008,0.012,0.01,0.012,0.008,0.009,0.009,0.009
4/6/2021,-0.007,-0.005,-0.002,-0.006,-0.014,-0.01,0.005,-0.008,0.001,-0.005
4/7/2021,-0.016,-0.003,-0.01,-0.015,-0.018,-0.02,-0.019,-0.021,-0.009,-0.015
4/8/2021,-0.002,-0.014,0,0,-0.001,0,0.002,-0.001,0,-0.002
4/9/2021,-0.002,-0.001,-0.002,-0.004,-0.008,-0.001,-0.002,-0.007,0,-0.003
4/12/2021,0.007,0.018,0.012,0.001,0.014,0.004,0,0.003,0.005,0.007
4/13/2021,-0.029,0.011,-0.009,-0.03,-0.022,-0.028,-0.019,-0.038,-0.017,-0.02
4/14/2021,0.008,-0.007,0.005,0.01,0.009,0.01,0.005,0.016,0.012,0.008
4/15/2021,-0.004,-0.002,0.008,0.007,-0.003,0.001,0.003,0.011,0.005,0.003
4/16/2021,0.01,0.007,0.008,0.009,0.014,0.009,0.008,0.009,0.005,0.009
4/19/2021,-0.007,0.005,-0.003,-0.008,-0.006,-0.011,-0.002,-0.008,-0.01,-0.006
4/20/2021,0.001,0.001,-0.002,-0.007,-0.014,-0.003,0,-0.017,0,-0.005
4/21/2021,0.01,0.002,-0.002,0.007,0.015,0.012,0.009,0.012,0.012,0.009
4/22/2021,-0.006,0.007,0.005,-0.01,-0.007,-0.008,0.006,-0.005,-0.015,-0.004
4/23/2021,-0.014,0.009,0,-0.012,-0.015,-0.015,-0.003,-0.018,-0.034,-0.011
4/26/2021,0.008,-0.002,-0.004,0.001,0.006,0,0.001,0,0.004,0.002
4/27/2021,-0.012,-0.016,-0.016,-0.007,-0.01,-0.009,-0.014,-0.003,-0.01,-0.011
4/28/2021,-0.002,-0.013,-0.007,-0.009,0,-0.005,-0.01,-0.006,-0.006,-0.006
4/29/2021,-0.003,-0.002,0.004,0.007,0.002,0.004,0.005,0.006,-0.013,0.001
4/30/2021,-0.015,0.005,-0.014,-0.013,-0.011,-0.014,-0.007,-0.017,-0.018,-0.012
