date,IBM,AAPL,GOOG,BA,JPM,GS,KO,JNJ,AXP,UNP,LDOS,LMT,PFE,CVX,LHX,ATO,LLY,OXY,CVS,TSLA,F,NVDA,AMD,INTC,ACN,FDS,ATVI,VMC,DD,NUE,EMN,MCD,X,EQIX,STOR,MRO,STZ,PM,TAP,COST,GIS,HRL,CNP,CAT,MMM,GE,LVMHF,TGT,CZR,LVS,FITB,BLK,NOVN,BABA,JD,BIDU,TCEHY,DRI,DHI,PARA,KKR,BX,NCLH,CALM,DPZ,ELY,LULU,MTH,ILMN,WTW,CPT,CME,ISRG,ZTS,MRK,BMY,PSX,MU,AIG,EA,FB,SBUX,MAR,REGN,BIIB,VRTX,ALB,AMZN,LYV,PEGA,MVIS,VEEV,CYBR,GME,DHR,T,IDXX,A,CNC,MOS,NEE,AWK
01/02/2015,154.7939,27.333,523.373,129.95,62.49,194.41,42.14,104.52,93.02,118.61,43.14,193.31,29.6992,112.58,71.62,55.9,70.06,80.6174,95.1,43.862,15.36,5.0325,2.69,36.36,88.84,140.59,20.13,66.98,64.8657,49.01,76.48,93.26,26.59,226.65,21.43,28.6,97.5,81.02,73.86,141.61,53.11,25.81,23.63,91.88,164.06,192.7116,158.24,75.33,4.04,56.3,20.21,356.73,82.34,103.6,24.02,223.08,14.375,52.3108,24.96,54.79,23.49,33.4834,46.7,38.65,94.29,7.64,55.34,35.67,185.42,118.0129,75.25,88.14,58.397,43.31,54.5322,59.51,72.29,34.75,56.11,46.87,78.45,40.72,77.75,410.16,315.026,123.07,60.31,308.52,26.16,20.35,1.96,26.23,38.88,33.8,64.9686,33.87,73.665,40.56,26.11,45.77,26.6725,53.94
01/05/2015,152.3582,26.563,512.463,129.05,60.55,188.34,42.14,103.79,90.56,114.6,42.46,189.29,29.5381,108.08,69.69,54.89,69.37,77.6286,94.16,42.018,14.76,4.9475,2.66,35.95,87.34,138.39,19.85,65.13,62.8596,47.14,73.84,92.23,25.35,224.32,21.48,27.27,99.82,80.41,73.41,140,52.15,25.35,22.88,87.03,160.36,189.1742,152.23,73.98,4.25,54.76,19.6,347.5,81.72,101,24.58,219.785,14.595,51.9258,24.44,54.26,23.34,32.9929,46.03,37.79,95.47,7.67,55.96,35.16,190.72,117.1653,74.95,88.64,57.152,43.05,55.3426,58.58,67.92,33.775,55,46.57,77.19,39.94,75.62,412.47,310.172,121.03,58.31,302.19,25.56,20.06,2.09,26.23,39.05,34.72,64.3243,33.55,73.155,39.8,26.04,44.95,26.39,53.11
01/06/2015,149.0724,26.565,500.585,127.53,58.98,184.53,42.46,103.28,88.63,112.23,42.38,188.4,29.7846,108.03,68.29,54.55,69.72,76.9689,94.23,42.256,14.62,4.7975,2.63,35.28,86.71,137.66,19.48,64.98,61.8494,46.46,73.53,92.4,24.58,219.43,21.2,26.86,100.46,81.1,73.06,141.85,52.02,25.16,22.37,86.47,158.65,185.0985,149.15,73.97,4.07,53.36,18.81,342.1,82.12,103.32,24.53,220.18,15.286,52.1048,24.11,53.19,23.11,32.3552,45.61,36.44,94.29,7.69,55.57,35.1,188.31,116.5825,75.62,87.285,57.754,42.63,57.5167,58.48,66.02,32.87,54.22,45.96,76.15,39.615,74.67,396.89,308.246,117.36,57.17,295.29,24.82,19.73,1.87,27.12,37.15,33.69,63.8847,33.6,73.39,39.18,26.125,45.55,26.4925,53.25
01/07/2015,148.0982,26.938,499.728,129.51,59.07,187.28,42.99,105.56,90.3,112.85,43.07,190.83,30.1922,107.94,68.47,55.33,69.23,76.9789,95.93,42.19,15.04,4.7838,2.58,36.02,88.53,138.76,19.055,66.21,61.7498,46.89,73.06,94.01,24.64,220.15,21.94,27.19,103.05,81.71,75.4,144.32,53.12,25.57,22.66,87.81,159.8,185.1754,148.32,76.77,4.29,55.12,19.02,349.34,85.57,102.13,24.81,224.35,16.225,53.8957,25.35,53.11,23.54,32.8163,46.21,37.27,97.5,8,57.65,36.58,194.92,118.2513,77.7,88.3,58.071,43.51,58.7467,59.24,66.31,32.1,54.48,46.81,76.15,40.59,76.38,407.72,325.37,120.66,56.94,298.42,25.11,19.82,1.95,27.17,37.95,33.3,64.2713,33.17,74.87,39.7,26.2675,45.79,26.735,53.93
01/08/2015,151.3171,27.973,501.303,131.8,60.39,190.27,43.51,106.39,91.58,117.08,43.19,195.13,30.8083,110.41,70.04,55.7,70.87,77.6586,97.97,42.123,15.42,4.965,2.61,36.69,89.88,140.47,19.25,68.28,63.2864,48.03,75.32,94.36,25.18,222.78,21.95,27.74,107.64,82.94,77.73,145.56,53.57,25.845,23.2,88.71,163.63,187.4055,152.42,77.13,4.2,55.87,19.45,353.42,86.19,105.03,25.08,229.21,16.6,54.7463,25.93,53.74,23.4,33.0714,46.68,38.13,100.78,8.08,59.07,36.7,196.82,119.6023,76.89,88.71,59.222,44.18,59.9291,60.72,68.89,33.67,54.24,48.125,78.175,41.245,78.91,403.25,322.616,123.97,58.73,300.46,25.83,20.19,2.03,28.39,38.55,33.69,65.2641,33.5,75.415,40.89,26.6725,46.33,26.8975,54.14
01/09/2015,151.9761,28.003,494.811,131.54,59.34,187.35,43.03,104.94,90.42,114.98,42.37,195.02,30.9505,108.21,69.94,55.25,69.93,77.5087,97.92,41.332,15.21,4.985,2.63,36.76,89.78,139.37,18.9,68.29,63.1868,47.78,74.44,93.21,24.57,216.89,21.87,27.65,107.34,82.72,77.58,143.32,53.03,25.64,22.71,87.65,161.62,184.7909,152.15,76.43,4.185,55.11,18.93,349.23,86.01,103.02,24.94,226.9,16.51,53.6271,26.06,54.56,23.74,33.5619,45.2,37.69,100.5,8.13,58.63,36.81,194.8,118.5427,77.66,88.79,57.874,44.25,59.6526,60.32,67.31,33.525,53.32,47.51,77.74,39.895,78.73,411.04,315.33,122.21,59.02,296.93,25.29,19.88,2.02,28.79,37.06,32.27,64.8246,33.4,74.995,40.59,26.4675,45.96,26.66,54.3
01/12/2015,149.4259,27.313,491.201,130.87,58.83,185.07,42.64,104.58,89.5,113.97,41.98,194.47,31.0643,105.88,68.88,55.34,69.42,74.9197,97.2,40.442,15.22,4.9225,2.63,36.6,89.51,139.46,18.86,68.25,62.8169,46,72.58,93.01,23.38,216.88,22.05,26.24,106.97,83.05,76.96,142.52,52.65,25.26,22.76,86.89,160.74,184.4064,156.68,76.63,4.2,55.01,18.64,346.93,87.43,101.62,24.11,220.89,16.2,53.5823,26.08,54.85,23.47,33.6992,45.32,35.85,102.12,8.13,62.59,37.43,190.1,117.4831,78.72,87.61,58.39,43.42,59.4047,62.18,64.24,31.66,52.36,47.06,76.72,40.115,77.905,413.33,320.396,118.31,59.7,291.41,25,19.67,2,29.12,38.37,33.77,64.0212,33.49,75.635,40.11,26.1975,46.36,26.5925,54.13
01/13/2015,149.7793,27.555,494.821,131.17,58.84,184.93,42.63,104.76,89.23,111.83,42.33,194.35,30.7515,104.2,68.43,55.61,69.38,74.9397,97.24,40.85,15.21,4.9138,2.66,36.5,89.83,140.28,18.56,67.36,62.0486,45.66,71.74,92.83,22.9,217.25,22.09,25.89,106.3,83.1,76.17,141.09,52.71,25.35,22.64,86.37,160.62,183.4836,155.94,75.95,4.195,55.45,18.51,347.98,87.12,100.77,23.84,219.6,16.44,53.054,24.82,55.6,23.72,33.4344,45.64,34.94,101.7,8.08,63.06,36.13,185.09,117.6156,77.39,87.13,57.962,42.81,59.2998,63.12,61.5,30.835,51.87,46.42,76.45,40.435,77.42,406.49,324.909,120.6,60.99,294.74,25.27,19.71,1.92,29.09,37.45,32.77,63.9302,33.49,78,39.55,26.68,45.45,26.6975,54.25
01/14/2015,148.8146,27.45,499.498,130.38,56.81,180.23,42.56,104,87.07,111.36,41.77,193.23,30.7894,103.9,68.42,57.14,69.76,75.4495,97.33,38.538,15.11,4.935,2.63,36.35,88.78,140.01,18.93,67.74,61.7924,44.41,70.78,91.54,22.41,218.88,22.76,25.96,108.43,83.42,74.98,139.31,52.92,25.295,22.62,86.07,159.84,182.8684,157.63,74.33,4.1,54.85,18.21,345.75,79.56,99.58,23.82,216.82,16.17,53.0809,25.14,54.47,23.24,33.3068,45.04,35.04,98.91,7.96,63.4,35.42,182.41,116.5825,78,85.01,59.484,43.03,59.7289,62.95,59.42,30.05,51.38,46.9,76.28,40.21,76.57,404.31,321.234,120.38,59.52,293.27,24.68,19.72,1.96,28.72,37.75,36.21,62.9222,33.33,80.225,39.06,26.6625,45.5,26.8625,55.21
01/15/2015,147.6397,26.705,500.416,130.14,54.99,178.49,42.38,102.49,85.88,110.8,41.6,192.37,30.7135,102.67,67.31,57.31,69.74,75.9593,97.17,38.374,14.86,4.9,2.52,36.19,88.17,138.48,18.55,66.22,61.6217,44.21,69.8,91.38,21.61,218.21,22.8,25.47,108.18,82.82,74.56,139.31,53.45,25.47,22.66,84.32,159.66,181.3304,156.94,75.67,4.13,54.84,18.02,342.45,75.18,96.31,23.32,215.97,16.1,52.6331,23.18,53.55,22.81,32.8359,44.68,36.63,96.83,7.84,62.51,33.58,180.91,116.2911,78.85,84.87,58.264,42.94,59.0042,61.63,59.09,29.3,50.4,46.64,74.05,39.79,76.1,397.12,313.064,117.78,58.08,286.95,24.46,19.42,1.97,28.09,35.71,34.46,62.1718,33.26,79.165,38.01,26.7225,45.43,26.76,55.25
